symbol,index_code,first_seen_date,last_seen_date,inclusion_date,removed_date
301489,000852,2026-06-28,2026-06-28,2026-06-15,
301500,000852,2026-06-28,2026-06-28,2024-09-18,
301510,000852,2026-06-28,2026-06-28,,
301511,000852,2026-06-28,2026-06-28,,
301522,000852,2026-06-28,2026-06-28,2025-06-16,
301550,000852,2026-06-28,2026-06-28,2025-12-15,
301551,000852,2026-06-28,2026-06-28,2025-06-16,
301556,000852,2026-06-28,2026-06-28,2025-06-16,
301563,000852,2026-06-28,2026-06-28,2026-06-15,
301565,000852,2026-06-28,2026-06-28,2024-12-16,
301571,000852,2026-06-28,2026-06-28,2025-06-16,
301584,000852,2026-06-28,2026-06-28,2026-06-15,
301589,000852,2026-06-28,2026-06-28,2024-12-16,
301592,000852,2026-06-28,2026-06-28,2025-06-16,
301600,000852,2026-06-28,2026-06-28,2025-06-16,
301602,000852,2026-06-28,2026-06-28,2025-06-16,
